"Setting up Env for Aurora, Supply Force and Dry run for that Clients",,,,,2018-06-08,,,,0
Daily Scrum Meeting,Daily Scrum Meeting,,,,2018-02-05,,,,0
Create Framework to Sync C4C to AX,Create Framework to Sync C4C to AX,,566196,,2017-11-14,,,,0
C4C : Employee Master Data replicating from AX to C4C,Employee Master Data replicating from AX to C4C,,566196,,2017-11-07,,,,0
Understanding reporting lines,Understanding reporting lines,,566196,,2017-11-06,,,,0
C4C Customer replicating from AX to C4C,Customer replication from AX to C4C,,566196,,2017-08-22,,,,0
SAP Hybris Integration with C4C,,,566196,,2018-01-18,,,,0
C4C - SSL Certificate and SSL Handshake,"1. Create PSE in SAP ERP
2. Create Certificate Request (CSR - Certificate Signing Request)
3. Get the Certificate signed by Certificate Authority.         *http://www.entrust.net/cisco*
4. Import the Certified certificate into SAP ERP.
5. Add the Certificate to Database
6. Export or Download Baltimore Cyber Trust Root Certificate of HCI.
7. Import Cyber Trust Root Certificate into SAP ERP (STRUST)
8. ",,566196,,2017-05-12,2017-11-30,,,24
ERP - C4C Integration through HCI,,,566196,,2017-03-13,,,,25
C4C- Research on initialize C4C instance,Find options to initialize C4C instance to get it back to initial state and remove all test data.,,566196,,2017-11-13,,,,0
Remember me option while login in Hybris PCS,,,566198,,2018-06-04,,,,0
Static page implementation in Hyrbis PCS,,,566198,,2018-06-04,,,,0
EDI 850 purchase order integration with hybris,,,566198,,2018-05-28,,,,0
"Set default pick up location , payment method and shipping address for Customer",,,566199,,2018-04-24,,,,0
C4C - Create a product in C4C using available web-service,,,566199,,2017-10-05,,,,0
C4C - Integration capabilities for 3rd party software,3rd party software  available for C4C?,,566199,,2017-10-05,,,,0
C4C - Exploring Promotions,,,566199,,2017-10-17,,,,0
Move punchout  setup from 192.168.2.141  to 192.168.2.148 box,"B2B punchout code setup is done in 192.168.2.141 box.
Need to move the code base to 192.168.2.148 box",,566199,,2018-03-07,,,,0
Move C4C setup from 192.168.1.63 to 192.168.2.148 box,"In 192.168.1.63, we have already setup for C4C with Hyrbris.
We need to move to the code base to 192.168.2.148 box.",,566199,,2018-03-07,,,,0
Intial / Update data using intermediate table approach,"Back end system will put the data in the intermediate table.
On the data hub server will run procedures to get data from tables and load the data into Hybris.",,566199,,2018-03-07,,,,0
Updating selenium scripts for existing functionality in Briggs Site,,,566199,,2017-12-04,,,,0
Selenium script for Briggs site,,,566199,,2017-12-04,,,,0
Cache the latitude and longitude for Geo location,"Use hybris cache to store latitude and longitude for Geo location.
https://help.hybris.com/6.5.0/hcd/8be98ee4866910149df8be0aab4d0b62.html",,566199,,2017-11-15,,,,0
Create Selenium scripts for  ABC site,,,566199,,2017-09-27,,,,8
Setup Flyer for ABC site,,,566199,,2018-03-15,,,,0
Setup Bundling Product in ABC site,,,566199,,2018-03-15,,,,0
Replicate Contact person(B2B Customer ) address (CP),,,566199,,2017-10-12,,,,0
Replicate Customer data from SAP ERP to Hybris,,,566199,,2017-10-09,,,,0
Receiving IDoc (Inbound) from Data Hub to SAP ERP system,"Tasks To Do

# Receive B2B Customer
# Receive Sales Order
# Receive Promotion",,566199,,2017-07-19,,,,0
SAP ERP monthly Backup of 192.168.1.19 Box (July 2017),,,566199,,2017-07-13,2017-07-14,,,4
C4C - Configurations on ERP,"* Maintain service for IDoc
* Register service for SOAP Runtime
* Configure service on SOAMANAGER
* Create required services from SOAMANAGER
* Define Number Range
* Create System User for COD Integration and assign Roles
* Create Logical system
* Define Outbound Process code
* Create Connectivity - RCOD_CREATE_CoNNECTIVITY_MW",,566199,,2017-04-17,,,,0
C4C - Setup Demo environment,,,566199,,2017-01-17,,,,2
Mobile - Verifying Bar Code Scanner functionality on android.,Verifying *Bar Code Scanner* functionality on latest *Hybris Commerce android app*.,,566199,,2018-01-18,2018-01-25,,,24
 Mobile - Bar Code Scanner code changes for iPhone app to load Product Specific page.,Verifying Bar Code Scanner functionality on latest Hybris Commerce android app.,,566199,,2018-01-25,,,,0
