"foiri(issue)-Able to navigate to 'Checkout' page ,when there are no items in cart details page ","Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Select category from menu(ex:screw driver)
5.Select product (item no :3755211) and then click on add to cart button from product details page
6.Click on checkout from pop up
7.Now remove the product and make sure that there ar no items in cart details page
8.Click on checkout page

Issue : 1.'Checkout' button is in enable mode when there are no items in cart details page
              2.Able to place the order from checkout page",,SAP ERP,,2015-12-10,
Fiori(issue)-Product detailspage-Item Quantity is not changing,"Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Select category from menu(ex:screw driver)
5.Select product (item no :3755211)
9.Enter quantity (ex:20) and then checkout and place order
10.Now select  any product or else same product above

Issue : Quantity is not getting cleared and same it showing for all products 

",,,,2015-12-10,
Fiori(Issue)- Last created order is not displaying in order history page,"We are able to crate an order successfully , but unable to view in order history page.",,,,2015-11-27,
C4C-Create customer specific price,,,,,2017-10-23,
C4C-Change Navigation Toolbar icons order ,,,,,2017-10-12,
6.4-Redesign Website,"Redesign the Homepage:
-Color changes
-Font changes
-Button styles
-Logo changes for site and email templates
-Banner components",,,,2017-07-03,
Change the number ranges for sales orders,,,,,2017-08-09,
Scan the QR code from mobile and display Order details ,Scan the QR code from mobile app and display the Order details page.,,,,2016-10-27,
Update the password for donotreply@charterglobal.com on 141 and 231.,The password for donotreply@charterglobal.com has changed. Please update it in the email properties file on 141 and 231. ,,,,2016-10-26,
Fiori(issue)-Login page-Username field should not be case sensitive,"Steps to reproduce:
1.Open the app
2.Click on login option from 'My account' on home page
3.Enter username and password (ex:FIORI@CHARTERGLOBAL.COM ,password:1234)
4.Click on login 

Issue: Username field is case sensitive
",,,,2015-12-01,
"Fiori(Issue)-Menu bar should be added to product list page , product details page , cart details page",,,,,2015-12-01,
Fiori(issue)-login page-Username and password text field not accepting more than 20 character after login get failed,"Steps to reproduce :
1.Open the app
2.Click on My account button
3.Enter username and password which is invalid  in username and password text fields respectively(eg: Username : fiori_testcharterglobal.com ,Password:12345)
4.Click on Login button
5.Now again enter username and password which is valid in username and password text fields respectively  (eg: Username : fiori_test@charterglobal.com ,Password:1234)

Issue : Username and password text field not accepting more than 20 character ,showing character length restriction ",,,,2015-11-27,
Fiori(issue)-Unable to create multiple orders from same user id ,"Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Add products to cart from product list page
5.Navigate to checkout page from cart details page
6.Click on 'Edit delivery address' button and enter the details
7.Click on 'Edit payment details' button and enter the details.
8.Click on 'Place order' button
9.Now again add product from product details page by selecting one product from product list page(add to cart button in product list page will not work )
10.Click on 'check out ' button from popup 

Issue : Through an error message .

Observation : If we refresh the page and login ,we can add product to cart and create an place order ,hence to create multiple orders we should refresh the page each time and login then create a new order",,,,2015-11-25,
"Fiori(issue)-After login to the page ,our best selling product components are not displaying ","Steps to reproduce :
1.Open the app 
2.Click on My account button
3.Login by entering username and password(eg: Username : venki.787@gmail.com ,Password:1234)
4.Observe homepage

Issue : our best selling product components are not displaying on home page",,,,2015-11-23,
Fiori- Add Viewcart and 'Back to shop' buttons on Add to cart message popup ,,,,,2015-11-10,
Fiori(Issue)-Issues in cart details page when single product added  to cart,"Steps to reproduce:
1.Open the  ABC B2B online shopping app
2.Select the tool from menu bar
3.Click on Add to cart button(Add only single product to the cart)
4.Click on My cart 

Issues :1. Multiple times Remove button is displayed
               2.Product image , price , item no.,quantity are not displayed ",,,,2015-11-03,
Homepage,"Tailor the hybris Commerce Accelerator Homepage  for B2B Commerce.
The layout and design of a Homepage.",,,,2016-02-09,
SAP Integration,SAP - hybis Integration with Datahub ,,,,2016-01-25,
Fiori(issue)-By default my cart showing count 'zero' on home page  ,"Steps to reproduce :
1.Open the app
2.Observe My cart icon  on home page
3.Add product to the cart and then observe 

Issue: My cart showing count as 'zero'",,,,2015-12-10,
Foiri(issue)-UI issues in popup window,"Steps to reproduce :
1.Open the app 
2.Select the category from menu 
3.Click on product from list of product page
4.Add product to cart from product details page
5.Observe popup

Issue : 1.'Check out' spelling is wrong
             2.In mobile view 'continue shopping' complete word is not displaying 
             3. In desktop view , popup window is big in size

 Suggestion :In desktop view 'continue shopping' word align to left side 
                       

   ",,,,2015-11-16,
Foiri(Issue)-Home page-Navigation bars are missing for carousel image(Slider images) in mobile view,"Steps to reproduce:
1.Open the app
2.Check the carousel image on homepage

Issue : Forward and back navigation bars should be provided so that user knows that still images are existing .
",,,,2015-11-09,
Fiori(Issue)-'Add to cart ' word alignment,"Steps to reproduce:
1.Open the app
2.Select the product from the category
3.Observe Add to cart word in list of product page ,product details page

Issue : No space between 'to' and 'cart' words and First letter of cart is not in capital",,,,2015-11-04,
Create New Developer Users on the New SAP ERP system (192.168.1.213) Box,"Create users in SAP ERP system
Register users in SAP Service Market Place
Download Developer Keys from SMP and install in ERP system.",,SAP ERP,,2017-06-08,
Apply Licenses to New SAP ERP system (192.168.1.213) Box,"Register SAP ERP system in SAP Service Market Place.
Download License from SAP Service Market Place.
",,SAP ERP,,2017-06-08,
SAP ERP Database Backup (192.168.1.19),"T-Code:   DB13
Schedule Online backup.",,SAP ERP,,2017-06-05,2017-06-07
Hybris Import Cockpit ,"
The hybris Import Cockpit enables you to import data into the hybris Commerce Suite using a CSV source file without the need of specifying an ImpEx import script. You can perform the import operations in the user-friendly interface of the hybris Import Cockpit.",,Pre-Planning,,2015-06-12,
Restricting Visibility of a Product,To restrict the visibility of certain products to specific user group. This is useful if you want to create multiple product catalogs for various B2B Customers.,,Pre-Planning,,2015-06-08,
Exception - Java Null pointer exception (null given for key: Catalog Version),"•	Unable to create category page to view product list in search results page of that catalog
 – Java Null pointer Exception raised
Error Message - Value is required , null given for key: Catalog Version",,Pre-Planning,,2015-06-22,
Customer specific pricing of a product ,"Create separate price of a product for specific customers and it should differ with common price.
",,Pre-Planning,,2015-06-26,
Direct 'Add to Cart' Widget,To place order directly with item code,,Pre-Planning,,2015-06-29,
Configure default website ,"Configure default website(Powertools site) with Hybris Pre-configured Solution

",,Pre-Planning,,2015-06-26,
Hybris Pre-configured Solution,,,Pre-Planning,,2015-06-26,
Create new User and user group,Create user id and user group id with separate login credentials,,Pre-Planning,,2015-06-22,
Create separate Login Credentials,Able to create separate login credentials,,Pre-Planning,,2015-06-22,
Exception: CMSItemNotFoundException: Catalog is not part of current site ,"Exception: CMSItemNotFoundException: Catalog is not part of current site [watchesSite]

Unable to preview product list page created for new website 

",,Pre-Planning,,2015-06-17,
Creating Components of a Selected Type,,,Pre-Planning,,2015-06-11,
Creating Components Using Existing References,,,Pre-Planning,,2015-06-11,
Creating and Editing Components,"Creating Components of a Selected Type
Creating Components Using Existing References
Editing Components
Editing Components in WCMS Page View
Editing Components in Live Edit
",,Pre-Planning,,2015-06-11,
Create new product catalog,Create a new catalog and add categories and products,,Pre-Planning,,2015-06-08,
Create products,"Create products with all details like pricing , description , images",,Pre-Planning,,2015-06-26,
Add new product to catalog," Add new product and provide all attributes like price , description , image , size ",,Pre-Planning,,2015-06-05,
Import products to product catalog from impex ,Add products in impex and import to Hybris product catalog,,Pre-Planning,,2015-06-29,
Creating a Classifying Category,Creating a Classifying Category to Classification System Version of a catalog version,,Pre-Planning,,2015-06-10,
Creating a new Category Feature,creating new category features to category,,Pre-Planning,,2015-06-10,
Attributes according to Classification System,To add product attributes according to Classification System,,Pre-Planning,,2015-06-10,
Catalog components,"Creating a Classification System Version to catalog
Creating a Classifying Category 
Creating a Category Feature

",,Pre-Planning,,2015-06-10,
Creating a Classification System Version,Creating a Classification System Version to new catalog,,Pre-Planning,,2015-06-10,
Hello world example in Liferay,,,Pre-Planning,,2015-06-26,
Create Liferay project with ANT in Eclipse,Liferay project creation with ANT in Eclipse,,Pre-Planning,,2015-06-25,
Create Liferay project with Maven in Eclipse,"Liferay project creation with Maven in Eclipse
",,Pre-Planning,,2015-06-25,
CELUM installation,Install Celum (Digital Asset Management)  and Create an installation document.,,Pre-Planning,,2015-06-25,
LifeRay Tool Installation ,,,Pre-Planning,,2015-06-24,
Adding Components in WCMS Page View,adding components to slots in WCMS page view of selected website,,Pre-Planning,,2015-06-11,
Navigation nodes,"Add and remove navigation nodes.
Connect the content pages, media and links with the navigation nodes.
Edit properties of existing navigation nodes.
Synchronize the navigation nodes to apply changes to the online catalog versions.",,Pre-Planning,,2015-06-10,
Add theme to storefront,Adding theme to the existing storefront,,Pre-Planning,,2015-06-08,
Product Catalog,"1. How to add products to catalog?
2. How to add categories?",,Pre-Planning,,2015-06-02,
Content Catalog,,,Pre-Planning,,2015-06-02,
Product Classification,,,Pre-Planning,,2015-06-02,
Create Page Template,Create Content slots and components,,Pre-Planning,,2015-06-02,
Research on B2B in Hybris,,,Pre-Planning,,2015-05-23,
Research on Order to Cash,,,Pre-Planning,,2015-05-22,
